Pulse,Dose1,Dose2
0,2445278,1455757
1,2683185,1598165
2,2628699,1564707
3,2601034,1549017
4,2639132,1571560
5,2637165,1570193
6,2602750,1549429
7,2638357,1570399
8,2638908,1570759
9,2636321,1569052
10,2603912,1549618
11,2637215,1569204
12,2637633,1569494
13,2603416,1549256
14,2638037,1570143
15,2637588,1569975
16,2638531,1570728
17,2602696,1549412
18,2637937,1570390
19,2637163,1569962
20,2602707,1549347
21,2638535,1570925
22,2637534,1570336
23,2601446,1548885
24,2637882,1570633
25,2637253,1570390
26,2637647,1570560
27,2601971,1549126
28,2636250,1569457
29,2637738,1570376
30,2601185,1548611
31,2636573,1569774
32,2637595,1570214
33,2636583,1569766
34,2602334,1549246
35,2636953,1569899
36,2637277,1570017
37,2601437,1548746
38,2636637,1569542
39,2637151,1569779
40,2601925,1548814
41,2636908,1569557
42,2637433,1569751
43,2637470,1569894
44,2602052,1548802
45,2636164,1569153
46,2637704,1570199
47,2601575,1548305
48,2638529,1570266
49,2637259,1569370
50,2637779,1569631
51,2602348,1548690
52,2637055,1569611
53,2638226,1570794
54,2602134,1549311
55,2638526,1571198
56,2638024,1570883
57,2602425,1549369
58,2638636,1570805
59,2638126,1570588
60,2637289,1569945
61,2604096,1550299
62,2637064,1569769
63,2638862,1570996
64,2602488,1549452
65,2638163,1570773
66,2637575,1570574
67,2638286,1571143
68,2603429,1550509
69,2637092,1570491
70,2638451,1571320
71,2602835,1550041
72,2638410,1570904
73,2637899,1570742
74,2602541,1549651
75,2637303,1570435
76,2636990,1570240
77,2637338,1570416
78,2602926,1549877
79,2635929,1569452
80,2638185,1570719
81,2602083,1549237
82,2636548,1569803
83,2636619,1569844
84,2638299,1570897
85,2601190,1548754
86,2636580,1569833
87,2638114,1570811
88,2601396,1548796
89,2637185,1570232
90,2636592,1569813
91,2602219,1549252
92,2636548,1569628
93,2637744,1570164
94,2637228,1569848
95,2601688,1548659
96,2637491,1569842
97,2637109,1569586
98,2602197,1548901
99,2637943,1570135
100,2636938,1569708
101,2637846,1570267
102,2602277,1549006
103,2638392,1570624
104,2637883,1570620
105,2602070,1549370
106,2637837,1570631
107,2638463,1570987
108,2604149,1550482
109,2637055,1569906
110,2638481,1570806
111,2638204,1570541
112,2603061,1549551
113,2638030,1570473
114,2638133,1570636
115,2603325,1550084
116,2637473,1570499
117,2637516,1570646
118,2638914,1571834
119,2602909,1550216
120,2637585,1570848
121,2639050,1571745
122,2603304,1550071
123,2637851,1570763
124,2637664,1570736
125,2601990,1549427
126,2637340,1570481
127,2637189,1570530
128,2637539,1570794
129,2602005,1549560
130,2636642,1570119
131,2637650,1570665
132,2602313,1549541
133,2636925,1570060
134,2636897,1570111
135,2637482,1570450
136,2601374,1549065
137,2637351,1570460
138,2636689,1570041
139,2601986,1549300
140,2637520,1570300
141,2636365,1569501
142,2602347,1549182
143,2637268,1569863
144,2636477,1569355
145,2637996,1570318
146,2601582,1548587
147,2637007,1569580
148,2637684,1569873
149,2601530,1548461
150,2637798,1570220
151,2637045,1569858
152,2638925,1570951
153,2600993,1548291
154,2638763,1570953
155,2637842,1570551
156,2602979,1549887
157,2638052,1570911
158,2637830,1570564
159,2604886,1550967
160,2637146,1570079
161,2637505,1570329
162,2638709,1570934
163,2603384,1549731
164,2638333,1570425
165,2637892,1570398
166,2603360,1549915
167,2637684,1570440
168,2638646,1571165
169,2637728,1570799
170,2604113,1550722
171,2638139,1570730
172,2637516,1570414
173,2603094,1549919
174,2638032,1570710
175,2637815,1570664
176,2602080,1549335
177,2637603,1570698
178,2636594,1570227
179,2637693,1570892
180,2601885,1549469
181,2637162,1570686
182,2637702,1570923
183,2601585,1549312
184,2637249,1570558
185,2636982,1570470
186,2637309,1570694
187,2602421,1549809
188,2637052,1570279
189,2637248,1570386
190,2601470,1548998
191,2637263,1570196
192,2637194,1570128
193,2601517,1548900
194,2637013,1569825
195,2638049,1570244
196,2637045,1569684
197,2602453,1548974
198,2636443,1569134
199,2637852,1569995
200,2601826,1548330
201,2638714,1570247
202,2637232,1569513
203,2636941,1569515
204,2603139,1549517
205,2638642,1570851
206,2636942,1570005
207,2602919,1549951
208,2637909,1570735
209,2638269,1570846
210,2603555,1550057
211,2638716,1570849
212,2637925,1570406
213,2637828,1570302
214,2603249,1549684
215,2638084,1570237
216,2638578,1570650
217,2602929,1549737
218,2637513,1570359
219,2639051,1571419
220,2637480,1570735
221,2603784,1550693
222,2638007,1571004
223,2638367,1571067
224,2602003,1549327
225,2639310,1571505
226,2637013,1570076
227,2603012,1549931
228,2636487,1570038
229,2637958,1570756
230,2637762,1570522
231,2602350,1549317
232,2637379,1570081
233,2636681,1569729
234,2601185,1548635
235,2637968,1570532
236,2636703,1569752
237,2637055,1569944
238,2600885,1548521
239,2638259,1570742
240,2636898,1569851
241,2601819,1548955
242,2636467,1569584
243,2637818,1570473
244,2600454,1548195
245,2637446,1570251
246,2637118,1570055
247,2637153,1570008
248,2602404,1549046
249,2637021,1569470
250,2638105,1570224
251,2601368,1548445
252,2637634,1570252
253,2637771,1570370
254,2637084,1569872
255,2603855,1550064
256,2637393,1570171
257,2637767,1570372
258,2602616,1549675
259,2638479,1571135
260,2637998,1570808
261,2604023,1550321
262,2637603,1570158
263,2638937,1571044
264,2636840,1569585
265,2603678,1549818
266,2638403,1570445
267,2638300,1570443
268,2602475,1549396
269,2638420,1570910
270,2638081,1570875
271,2638086,1570894
272,2603484,1550277
273,2638779,1571147
274,2637395,1570333
275,2602959,1549706
276,2638075,1570665
277,2637628,1570495
278,2602113,1549534
279,2637435,1570760
280,2637412,1570738
281,2636622,1570231
282,2602254,1549723
283,2637399,1570664
284,2637086,1570598
285,2601553,1549291
286,2637512,1570847
287,2636586,1570270
288,2637241,1570711
289,2601661,1549722
290,2636825,1570519
291,2637596,1570926
292,2602084,1549773
293,2636464,1570109
294,2637403,1570498
295,2601818,1549153
296,2637482,1570202
297,2636931,1569690
298,2637790,1569977
299,2601966,1548513
300,2636945,1569572
301,2637014,1569776
302,2601971,1548823
303,2638320,1570431
304,2637534,1569940
305,2606503,1551462
306,2603097,1549428
307,2637460,1570083
308,2638170,1570565
309,2603106,1549874
310,2638067,1570702
311,2637987,1570703
312,2603563,1550051
313,2637740,1570284
314,2638884,1571035
315,2638056,1570300
316,2603309,1549604
317,2637974,1570120
318,2637966,1570186
319,2603170,1549623
320,2638738,1571101
321,2637564,1570608
322,2638821,1571437
323,2603205,1550015
324,2638550,1571092
325,2637741,1570437
326,2602863,1549679
327,2637286,1570287
328,2638197,1570885
329,2602603,1549795
330,2636450,1570193
331,2637482,1570935
332,2637568,1571122
333,2602575,1550094
334,2635770,1569824
335,2637629,1570986
336,2602007,1549829
337,2637914,1571177
338,2636824,1570174
339,2637897,1570938
340,2601388,1549049
341,2636358,1569866
342,2637798,1570584
343,2601026,1548674
344,2637649,1570469
345,2636929,1570001
346,2602320,1549255
347,2635864,1568956
348,2637543,1569894
349,2637334,1569725
350,2602182,1548738
351,2637226,1569613
352,2637095,1569425
353,2602682,1548850
354,2637199,1569260
355,2637514,1569330
356,2638448,1569780
357,2601791,1547949
358,2639045,1570441
359,2637480,1569617
360,2602621,1549149
361,2637606,1570376
362,2638708,1570992
363,2603096,1549717
364,2639235,1571147
365,2637244,1569936
366,2638621,1570664
367,2603720,1549876
368,2637762,1569900
369,2638365,1570488
370,2603337,1549588
371,2638395,1570389
372,2638657,1570661
373,2637506,1570106
374,2603268,1549875
375,2638110,1570404
376,2637684,1570322
377,2602164,1549308
378,2638390,1571060
379,2637340,1570457
380,2601199,1549090
381,2638735,1571763
382,2636734,1570589
383,2637463,1570989
384,2601614,1549596
385,2636727,1570467
386,2637926,1571263
387,2602311,1549584
388,2637651,1570294
389,2637001,1569847
390,2637099,1569997
391,2601524,1548887
392,2636679,1569696
393,2638010,1570356
394,2601341,1548671
395,2637005,1569909
396,2636822,1569745
397,2601798,1548785
398,2637272,1569970
399,2636928,1569826
400,2636879,1569509
401,2602674,1549191
402,2636392,1569229
403,2637535,1570099
404,2602070,1548922
405,2638206,1570365
406,2637159,1569804
407,2637774,1570195
408,2602940,1549387
409,2637672,1570200
410,2638056,1570477
411,2603330,1550064
412,2638200,1570841
413,2638622,1571117
414,2602432,1549356
415,2638599,1570756
416,2638525,1570738
417,2637283,1569873
418,2603585,1549892
419,2638904,1570789
420,2637454,1569962
421,2603192,1549676
422,2637304,1570343
423,2638658,1571276
424,2638221,1571126
425,2603929,1550645
426,2638352,1570868
427,2637992,1570655
428,2602325,1549285
429,2638257,1570856
430,2637586,1570507
431,2600937,1549014
432,2638030,1571236
433,2638028,1571209
434,2637076,1570852
435,2601840,1549801
436,2636343,1570242
437,2638770,1571546
438,2601721,1549255
439,2637321,1570314
440,2637248,1570116
441,2637006,1570079
442,2601902,1549139
443,2636991,1570037
444,2636093,1569478
445,2601945,1549182
446,2637166,1570176
447,2636968,1569836
448,2601589,1548579
449,2637466,1569842
450,2637019,1569524
451,2637384,1569819
452,2601666,1548542
453,2637362,1569835
454,2636923,1569623
455,2602991,1549563
456,2637693,1570177
457,2637644,1570120
458,2637183,1569775
459,2602011,1548826
460,2639821,1571482
461,2637790,1570464
462,2602632,1549617
463,2637939,1570567
464,2638308,1570940
465,2604013,1550237
466,2637393,1570006
467,2638589,1570791
468,2637605,1569991
469,2603706,1549738
470,2638272,1570262
471,2638148,1570241
472,2603588,1549808
473,2637513,1570010
474,2637557,1570437
475,2639305,1571617
476,2603378,1550086
477,2638102,1570704
478,2638022,1570575
479,2602531,1549379
480,2637525,1570390
481,2638530,1570916
482,2600712,1548771
483,2637820,1571143
484,2638154,1571164
485,2637097,1570605
486,2602133,1549696
487,2637359,1570709
488,2636657,1570350
489,2601668,1549558
490,2637396,1570853
491,2637966,1571042
492,2636631,1569939
493,2601914,1549287
494,2637117,1570088
495,2636748,1569881
496,2601960,1549305
497,2637743,1570522
498,2635943,1569166
499,2601957,1549087
500,2637127,1569986
501,2636483,1569598
502,2637417,1570019
503,2602418,1549058
