Pulse,Dose1,Dose2
0,34759.18,20657.96
1,35561.68,21192.36
2,36307.08,21654.46
3,36592.48,21830.76
4,36640.68,21866.66
5,36513.98,21796.36
6,35701.08,21307.16
7,35003.38,20880.66
8,34749.18,20719.66
9,34667.48,20662.36
10,34873.08,20779.86
11,35405.98,21094.86
12,35743.68,21296.26
13,35846.78,21354.06
14,35798.98,21326.86
15,35603.88,21208.36
16,35232.48,20988.36
17,35048.38,20876.36
18,35047.88,20874.46
19,35144.18,20936.96
20,35294.18,21026.86
21,35515.78,21159.66
22,35669.68,21255.46
23,35597.08,21213.46
24,35468.78,21132.16
25,35442.58,21117.66
26,35317.28,21043.16
27,35193.88,20967.36
28,35259.78,21005.46
29,35400.78,21092.16
30,35424.68,21105.86
31,35492.98,21146.26
32,35569.88,21192.06
33,35485.08,21143.66
34,35398.38,21086.06
35,35383.98,21077.36
36,35346.68,21054.36
37,35322.48,21040.76
38,35367.98,21067.66
39,35410.38,21095.66
40,35452.58,21119.96
41,35459.98,21122.56
42,35457.18,21121.56
43,35455.68,21119.06
44,35415.58,21094.56
45,35347.98,21050.16
46,35331.98,21041.46
47,35368.08,21066.56
48,35365.58,21063.96
49,35412.07,21088.86
50,35483.38,21133.76
51,35448.28,21110.96
52,35446.08,21110.66
53,35434.68,21105.96
54,35398.58,21084.36
55,35382.78,21072.26
56,35350.58,21050.66
57,35375.58,21070.06
58,35382.48,21070.76
59,35414.98,21087.26
60,35401.98,21082.56
61,35434.78,21098.66
62,35438.18,21105.96
63,35389.98,21077.26
64,35398.08,21078.96
65,35434.38,21101.66
66,35390.98,21074.66
67,35373.28,21065.96
68,35449.48,21106.66
69,35448.38,21107.96
70,35378.88,21067.36
71,35416.08,21089.46
72,35423.58,21091.76
73,35377.98,21065.76
74,35373.98,21062.56
75,35436.08,21097.16
76,35411.48,21087.26
77,35414.08,21086.76
78,35387.08,21067.66
79,35404.08,21077.56
80,35429.27,21092.56
81,35384.28,21066.26
82,35386.38,21068.46
83,35448.38,21107.06
84,35382.48,21062.96
85,35352.68,21047.76
86,35445.38,21103.46
87,35446.88,21104.76
88,35398.88,21076.36
89,35425.48,21091.26
90,35425.58,21088.16
91,35369.18,21056.26
92,35361.18,21050.36
93,35395.98,21073.56
94,35435.18,21095.86
95,35422.98,21088.96
96,35432.68,21094.36
97,35441.38,21099.16
98,35425.18,21089.66
99,35383.18,21062.16
100,35390.38,21065.26
101,35405.78,21079.36
102,35374.58,21057.86
103,35392.38,21065.66
104,35462.28,21110.86
105,35397.28,21072.56
106,35413.58,21080.06
107,35442.78,21093.16
108,35410.38,21077.16
109,35381.78,21060.16
110,35426.88,21087.06
111,35402.88,21074.56
112,35359.98,21047.86
113,35400.38,21071.26
114,35423.38,21087.06
115,35376.58,21058.16
116,35404.38,21073.26
117,35468.08,21112.16
118,35425.98,21088.26
119,35397.38,21067.26
120,35389.08,21064.26
121,35412.28,21077.66
122,35407.98,21073.26
123,35389.68,21065.16
124,35438.58,21095.16
125,35471.58,21113.66
126,35390.98,21065.76
127,35394.08,21063.76
128,35437.68,21087.36
129,35341.48,21035.26
130,35336.58,21030.46
131,35437.08,21087.26
132,35460.48,21110.56
133,35415.08,21078.66
134,35483.18,21118.06
135,35489.98,21125.36
136,35391.98,21069.76
137,35364.68,21054.76
138,35394.28,21068.96
139,35350.38,21043.46
140,35325.78,21030.36
141,35387.28,21068.06
142,35481.38,21122.36
143,35451.18,21100.66
144,35439.08,21096.96
145,35454.38,21103.16
146,35426.78,21090.36
147,35364.18,21051.56
148,35374.38,21057.96
149,35415.68,21081.96
150,35385.88,21067.66
151,35394.88,21071.06
152,35474.98,21118.96
153,35451.58,21104.06
154,35359.78,21048.46
155,35421.28,21087.26
156,35437.18,21096.26
157,35341.68,21041.36
158,35363.08,21052.56
159,35460.98,21110.56
160,35443.08,21098.06
161,35380.48,21061.66
162,35442.08,21095.96
163,35424.98,21088.56
164,35371.38,21056.86
165,35379.58,21062.06
166,35422.08,21082.86
167,35405.18,21075.76
168,35379.38,21061.36
169,35457.48,21106.16
170,35460.58,21109.86
171,35405.58,21077.86
172,35420.88,21083.06
173,35460.38,21112.26
174,35388.58,21067.96
175,35351.48,21043.66
176,35431.98,21090.66
177,35440.08,21096.66
178,35378.48,21058.36
179,35453.88,21106.46
180,35445.48,21102.46
181,35351.78,21045.46
182,35362.98,21051.36
183,35432.68,21092.46
184,35395.68,21074.36
185,35366.18,21055.56
186,35424.28,21090.36
187,35437.98,21097.96
188,35426.08,21091.66
189,35410.58,21080.56
190,35421.58,21087.66
191,35400.38,21075.26
192,35366.98,21052.06
193,35415.38,21082.16
194,35450.88,21104.66
195,35416.68,21082.36
196,35389.88,21070.46
197,35461.38,21107.86
198,35393.68,21067.56
199,35349.58,21041.86
200,35396.58,21070.96
201,35420.38,21083.66
202,35395.38,21068.86
203,35403.98,21074.36
204,35460.38,21110.86
205,35424.48,21086.86
206,35396.88,21069.76
207,35401.58,21073.56
208,35403.08,21073.16
209,35381.48,21061.56
210,35398.88,21072.46
