Pulse,Dose1,Dose2
0,34471.09,20511.61
1,35403.79,21105.41
2,36239.29,21613.01
3,36592.19,21832.21
4,36692.59,21898.81
5,36561.19,21819.21
6,35804.99,21364.21
7,35151.89,20966.21
8,34850.79,20782.21
9,34690.59,20670.21
10,34862.09,20768.01
11,35365.59,21065.81
12,35689.39,21259.11
13,35815.69,21328.11
14,35813.29,21327.51
15,35601.99,21202.11
16,35246.49,20986.81
17,35018.29,20851.21
18,35068.79,20885.01
19,35107.39,20909.21
20,35257.49,20997.51
21,35552.59,21176.01
22,35689.99,21258.31
23,35610.19,21210.61
24,35480.59,21132.71
25,35454.49,21116.91
26,35253.49,21000.01
27,35132.09,20925.71
28,35270.29,21009.61
29,35400.89,21088.61
30,35387.39,21079.71
31,35511.49,21149.21
32,35627.29,21222.91
33,35483.69,21137.51
34,35349.29,21053.01
35,35415.99,21091.21
36,35357.49,21061.71
37,35258.79,20997.91
38,35353.19,21056.81
39,35486.09,21137.41
40,35432.59,21102.51
41,35448.99,21112.21
42,35495.19,21138.61
43,35444.99,21109.51
44,35301.49,21027.31
45,35318.99,21031.31
46,35410.79,21091.11
47,35372.09,21066.21
48,35375.29,21064.01
49,35478.19,21128.01
50,35484.59,21132.01
51,35371.29,21062.21
52,35392.49,21074.41
53,35438.19,21101.31
54,35325.19,21033.61
55,35344.59,21043.41
56,35477.09,21124.51
57,35442.19,21106.11
58,35391.09,21075.11
59,35426.19,21095.71
60,35453.19,21112.41
61,35358.79,21055.11
62,35347.89,21048.41
63,35455.49,21111.91
64,35432.89,21097.31
65,35383.79,21064.41
66,35419.29,21088.71
67,35463.19,21116.71
68,35383.19,21068.91
69,35358.19,21049.81
70,35411.29,21084.71
71,35415.89,21087.61
72,35333.79,21037.41
73,35380.99,21066.81
74,35471.19,21117.91
75,35379.09,21063.51
76,35401.69,21076.91
77,35499.49,21135.11
78,35391.99,21071.21
79,35352.39,21046.91
80,35421.49,21086.31
81,35421.09,21087.81
82,35355.29,21050.21
83,35411.79,21083.31
84,35459.39,21114.81
85,35428.89,21096.81
86,35413.49,21083.71
87,35419.69,21087.61
88,35423.39,21087.71
89,35382.89,21065.71
90,35377.39,21060.11
91,35401.69,21074.91
92,35359.09,21049.91
93,35379.49,21063.31
94,35424.49,21089.51
95,35438.99,21098.41
96,35383.39,21061.91
97,35446.09,21098.11
98,35459.89,21111.21
99,35378.99,21060.11
100,35375.09,21057.71
101,35422.89,21085.11
102,35370.39,21053.01
103,35397.39,21069.41
104,35418.69,21081.81
105,35413.59,21082.51
106,35432.89,21090.71
107,35421.69,21087.21
108,35415.59,21081.11
109,35379.99,21060.71
110,35409.19,21076.71
111,35383.19,21062.01
112,35414.29,21079.71
113,35402.39,21070.91
114,35371.09,21055.41
115,35426.19,21087.61
116,35444.39,21096.51
117,35398.59,21067.01
118,35376.39,21054.91
119,35431.79,21088.21
120,35404.49,21072.31
121,35357.19,21044.61
122,35446.09,21099.51
123,35478.29,21122.51
124,35452.89,21103.81
125,35398.89,21073.31
126,35439.89,21096.31
127,35369.69,21058.11
128,35360.39,21048.61
129,35360.79,21051.11
130,35421.59,21085.31
131,35408.09,21077.31
132,35389.59,21067.11
133,35455.69,21105.91
134,35438.89,21096.71
135,35378.89,21059.61
136,35385.99,21065.31
137,35417.99,21087.61
138,35358.79,21047.11
139,35347.89,21041.51
140,35470.59,21115.21
141,35459.39,21110.31
142,35381.19,21061.01
143,35426.59,21085.31
144,35460.29,21106.61
145,35352.49,21043.21
146,35377.29,21057.11
147,35447.29,21102.01
148,35394.7,21067.01
149,35379.79,21057.71
150,35446.29,21100.71
151,35450.29,21102.11
152,35361.49,21052.31
153,35377.19,21058.81
154,35444.09,21100.01
155,35402.99,21073.51
156,35364.39,21050.11
157,35429.29,21090.51
158,35438.59,21097.51
159,35381.29,21062.61
160,35383.49,21059.11
161,35461.29,21106.21
162,35409.29,21078.71
163,35364.69,21050.81
164,35450.49,21100.91
165,35428.19,21089.51
166,35339.49,21034.51
167,35394.29,21067.51
168,35464.99,21110.51
169,35407.79,21073.51
170,35389.29,21063.11
171,35457.69,21104.01
172,35418.59,21083.01
173,35344.19,21036.51
174,35396.99,21069.71
175,35442.79,21096.91
176,35393.69,21068.81
177,35357.09,21045.51
178,35474.59,21115.81
179,35460.69,21109.61
180,35372.99,21054.01
181,35389.59,21066.01
182,35472.89,21117.51
183,35371.39,21057.21
184,35358.89,21048.61
